#### wmt16 ####
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,8,16,20,10478.154296875,9057.92784690857,3.94921875
switch-32,16,16,20,12460.560546875,10459.674835205078,3.96484375
switch-32,32,16,20,15346.6064453125,12470.771551132202,4.025390625
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,8,16,20,11530.6435546875,10068.61138343811,7.69921875
switch-64,16,16,20,13919.779296875,11727.749824523926,7.71875
switch-64,32,16,20,15446.8740234375,12577.295541763306,7.779296875
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,8,16,20,11209.123046875,9448.140621185303,15.203125
switch-128,16,16,20,13669.302734375,10904.820442199707,15.22265625
switch-128,32,16,20,17418.306640625,13272.4769115448,15.279296875
#### wmt16 ####

#### xsum ####
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,8,16,20,9988.5625,8237.241744995117,3.98828125
switch-32,16,16,20,15983.3515625,13403.157949447632,4.076171875
switch-32,32,16,20,19723.083984375,16666.919469833374,4.166015625
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,8,16,20,8845.6015625,6762.653112411499,7.740234375
switch-64,16,16,20,16326.2001953125,12461.857557296753,7.845703125
switch-64,32,16,20,18580.69140625,14338.297843933105,7.95703125
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,8,16,20,11650.7080078125,8202.365398406982,15.259765625
switch-128,16,16,20,18722.650390625,12892.691850662231,15.36328125
switch-128,32,16,20,22779.232421875,16289.134979248047,15.49609375

#### xsum ####

Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,8,16,20,11662.4873046875,9569.555282592773,3.811074733734131
switch-32,16,16,20,15960.013671875,13379.276037216187,3.811087131500244
switch-32,32,16,20,19977.634765625,16920.120239257812,3.8111166954040527
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,8,16,20,9922.6484375,8221.355438232422,3.811074733734131
switch-32,16,16,20,15639.0576171875,13119.927883148193,3.811087131500244
switch-32,32,16,20,20072.15625,16715.750694274902,3.8111166954040527
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,8,16,20,12772.4833984375,9635.893106460571,7.187356472015381
switch-64,16,16,20,15301.228515625,11445.069789886475,7.187368869781494
switch-64,32,16,20,18578.041015625,14367.898941040039,7.187398433685303
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,8,16,20,13246.814453125,9265.645027160645,13.93991994857788
switch-128,16,16,20,18929.748046875,12969.080448150635,13.939932346343994
switch-128,32,16,20,23583.822265625,16793.480396270752,13.939961910247803


##### A40 xsum #####


##### A40 wmt16 #####

Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,8,16,20,10396.060546875,9019.855737686157,3.811068058013916
switch-32,16,16,20,12493.34765625,10509.487867355347,3.8110718727111816
switch-32,32,16,20,15426.99609375,12557.220935821533,3.811079502105713
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,8,16,20,9517.572265625,8366.386651992798,7.187349796295166
switch-64,16,16,20,13745.5556640625,11624.58348274231,7.187353610992432
switch-64,32,16,20,16671.501953125,13482.33151435852,7.187361240386963
Switch,Batch Size,Max New Tokens,Num Batches,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,8,16,20,11313.47265625,9601.357221603394,13.939913272857666
switch-128,16,16,20,13721.7802734375,11173.944234848022,13.939917087554932
switch-128,32,16,20,17548.556640625,13329.508781433105,13.939924716949463
