##### 4090 bigbench #####

Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,30,2,9536.798828125,7504.570960998535,0.697265625
switch-32,30,4,12177.7958984375,9361.100673675537,0.703125
switch-32,28,2,8963.1298828125,7078.398704528809,0.912109375
switch-32,28,4,12037.6083984375,9266.295194625854,0.91796875
switch-32,28,8,17288.037109375,13494.696378707886,0.9765625
switch-32,24,2,8603.345703125,6976.850748062134,1.361328125
switch-32,24,4,12412.583984375,9563.871145248413,1.3671875
switch-32,24,8,16565.658203125,12851.243734359741,1.42578125
switch-32,24,16,24490.36328125,20388.23437690735,1.48046875
switch-32,16,2,8451.4326171875,7037.752151489258,2.240234375
switch-32,16,4,9859.9013671875,7784.29102897644,2.24609375
switch-32,16,8,15115.9296875,11914.64376449585,2.3046875
switch-32,16,16,19392.99609375,15905.229091644287,2.359375
switch-32,16,32,25865.150390625,22489.742279052734,2.462890625
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,62,2,9098.0205078125,7714.5702838897705,0.697265625
switch-64,62,4,13388.640625,11380.3551197052,0.70703125
switch-64,60,2,9046.869140625,7828.677415847778,0.912109375
switch-64,60,4,13121.96875,11130.126953125,0.921875
switch-64,60,8,18788.201171875,15960.195064544678,0.9765625
switch-64,56,2,9151.216796875,7978.674650192261,1.361328125
switch-64,56,4,11713.4599609375,10102.18596458435,1.37109375
switch-64,56,8,18117.859375,15454.562187194824,1.42578125
switch-64,56,16,26023.345703125,22863.054752349854,1.501953125
switch-64,48,2,8476.8251953125,7509.599447250366,2.240234375
switch-64,48,4,10569.8017578125,9263.899087905884,2.25
switch-64,48,8,15736.1220703125,13636.84344291687,2.3046875
switch-64,48,16,25786.76953125,22533.51855278015,2.380859375
switch-64,48,32,35800.4921875,32318.85576248169,2.48046875
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,126,2,9915.9638671875,7521.643400192261,0.703125
switch-128,126,4,14352.1201171875,10227.789402008057,0.708984375
switch-128,124,2,9842.916015625,7528.664112091064,0.91796875
switch-128,124,4,14151.4990234375,10051.693677902222,0.923828125
switch-128,124,8,22173.130859375,14775.942087173462,0.998046875
switch-128,120,2,9397.50390625,7179.166078567505,1.3671875
switch-128,120,4,13382.2314453125,9534.330606460571,1.373046875
switch-128,120,8,20660.76171875,13412.010431289673,1.447265625
switch-128,120,16,30699.064453125,20684.117317199707,1.52734375
switch-128,112,2,8606.1748046875,6838.981628417969,2.24609375
switch-128,112,4,12633.533203125,9104.271650314331,2.251953125
switch-128,112,8,18994.70703125,12473.802328109741,2.326171875
switch-128,112,16,32410.05859375,21608.028173446655,2.40625
switch-128,112,32,46527.234375,33382.54642486572,2.53515625
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,30,2,9503.3349609375,7499.360084533691,0.697265625
switch-32,30,4,12682.5107421875,9756.338834762573,0.703125
switch-32,28,2,8861.9541015625,6993.801116943359,0.912109375
switch-32,28,4,11901.169921875,9122.249841690063,0.91796875
switch-32,28,8,18078.5859375,14058.838844299316,0.9765625
switch-32,24,2,8965.0849609375,7245.110988616943,1.361328125
switch-32,24,4,11271.6103515625,8706.113576889038,1.3671875
switch-32,24,8,15229.0830078125,11796.794891357422,1.42578125
switch-32,24,16,24607.47265625,20482.062578201294,1.48046875
switch-32,16,2,7311.0380859375,6080.55305480957,2.240234375
switch-32,16,4,10027.431640625,8020.2577114105225,2.24609375
switch-32,16,8,13824.1005859375,10921.898603439331,2.3046875
switch-32,16,16,20868.265625,16952.223777770996,2.359375
switch-32,16,32,26484.3984375,23103.864431381226,2.462890625
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,62,2,9901.173828125,8488.572835922241,0.697265625
switch-64,62,4,14154.9228515625,11996.072053909302,0.70703125
switch-64,60,2,9431.7744140625,8196.257829666138,0.912109375
switch-64,60,4,12636.107421875,10560.99271774292,0.921875
switch-64,60,8,18571.78515625,15788.149356842041,0.9765625
switch-64,56,2,8501.7431640625,7480.496883392334,1.361328125
switch-64,56,4,12400.99609375,10689.526557922363,1.37109375
switch-64,56,8,18480.697265625,15833.515405654907,1.42578125
switch-64,56,16,27649.033203125,24091.11762046814,1.501953125
switch-64,48,2,8390.73828125,7385.53524017334,2.240234375
switch-64,48,4,10554.474609375,9262.566566467285,2.25
switch-64,48,8,17039.791015625,14683.671236038208,2.3046875
switch-64,48,16,23896.51171875,20928.622484207153,2.380859375
switch-64,48,32,35357.43359375,31965.774297714233,2.48046875
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,126,2,10688.5576171875,8124.448776245117,0.703125
switch-128,126,4,14382.365234375,10202.131986618042,0.708984375
switch-128,124,2,9992.33203125,7670.018911361694,0.91796875
switch-128,124,4,13579.8681640625,9615.727424621582,0.923828125
switch-128,124,8,23583.546875,15706.773519515991,0.998046875
switch-128,120,2,9693.8955078125,7543.642520904541,1.3671875
switch-128,120,4,13012.3427734375,9215.822696685791,1.373046875
switch-128,120,8,20889.193359375,13601.288557052612,1.447265625
switch-128,120,16,34161.265625,22746.931314468384,1.52734375
switch-128,112,2,9039.25390625,7250.006437301636,2.24609375
switch-128,112,4,12658.220703125,9222.102165222168,2.251953125
switch-128,112,8,20758.166015625,13655.558109283447,2.326171875
switch-128,112,16,30832.716796875,20268.357276916504,2.40625
switch-128,112,32,46470.703125,33591.73679351807,2.53515625


##### A40 xsum #####





##### A40 wmt16 #####

Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,30,2,6915.5185546875,6232.982397079468,0.69140625
switch-32,30,4,7982.91357421875,7089.37931060791,0.6953125
switch-32,28,2,6696.5576171875,6076.573133468628,0.90625
switch-32,28,4,9255.240234375,8230.456829071045,0.91015625
switch-32,28,8,13169.0068359375,11215.52038192749,0.916015625
switch-32,24,2,6460.587890625,5933.510065078735,1.35546875
switch-32,24,4,8135.4580078125,7375.04768371582,1.359375
switch-32,24,8,12187.841796875,10526.63254737854,1.365234375
switch-32,24,16,16869.5234375,14374.045848846436,1.3828125
switch-32,16,2,6604.11865234375,6061.77282333374,2.234375
switch-32,16,4,6677.19580078125,6080.054998397827,2.23828125
switch-32,16,8,11513.2958984375,9996.970891952515,2.244140625
switch-32,16,16,14911.4775390625,12710.296869277954,2.26171875
switch-32,16,32,19708.5546875,16345.175504684448,2.302734375
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,62,2,8565.962890625,8014.744997024536,0.693359375
switch-64,62,4,10400.296875,9670.572280883789,0.697265625
switch-64,60,2,7561.755859375,7080.066442489624,0.908203125
switch-64,60,4,10412.42578125,9650.31361579895,0.912109375
switch-64,60,8,15262.8447265625,14127.691745758057,0.91796875
switch-64,56,2,7226.0400390625,6784.136772155762,1.357421875
switch-64,56,4,9610.5498046875,9037.8737449646,1.361328125
switch-64,56,8,12113.2490234375,11597.752809524536,1.3671875
switch-64,56,16,19962.466796875,18666.781187057495,1.38671875
switch-64,48,2,7072.89208984375,6684.241056442261,2.236328125
switch-64,48,4,9444.6865234375,8777.910470962524,2.240234375
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,48,32,25958.64453125,23887.951374053955,2.3046875
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,124,8,13857.65234375,12259.814023971558,0.921875
switch-128,120,16,19995.271484375,17158.591270446777,1.390625
switch-128,112,32,28173.826171875,23268.907070159912,2.32421875
